id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
ARSK	1.114532839	0.003471946	0.001040229	4.286731469	19.39289498	2.98287104292379	2.45942703812815
DPP9	-0.932474397	0.003497782	0.001048945	-4.282030885	22.23580955	2.97924728284811	2.45620726150896
AKAP2	-0.962654865	0.003502206	0.001051248	-4.280795614	18.01278388	2.97829481743878	2.45565831226969
ANK2	0.943350781	0.003518205	0.00105703	4.277706071	23.77601695	2.97591268662865	2.45367885851843
CCAR2	1.000705838	0.003549681	0.001067476	4.272169457	23.55299567	2.97164188041042	2.44981067403354
SEPTIN11	-0.553455459	0.003556751	0.001070594	-4.270527922	24.71346729	2.97037519489075	2.44894653771307
CALD1	-0.747821579	0.003562066	0.001073187	-4.269166639	27.5901266	2.96932459677392	2.4482980379412
WDHD1	-0.910365749	0.003581322	0.001079986	-4.265612508	23.87511434	2.96658187429282	2.4459566294108
RPS13	-0.711275666	0.003590414	0.001083729	-4.263666065	21.32499871	2.96507930499207	2.44485547132443
PPM1A	-1.192989301	0.00360925	0.00109042	-4.260203484	22.0830687	2.96240619146357	2.44258303485373
MMRN1	-0.872018937	0.003650721	0.001103967	-4.253260401	19.43873579	2.95704390842938	2.43762135598217
CCAR1	-0.981891939	0.00368951	0.001117689	-4.246316788	21.89553055	2.95167902325936	2.43303130821131
PHF14	-0.889703768	0.00368951	0.001117753	-4.246284642	21.86755547	2.95165415583104	2.43303130821131
CAPZA1	-0.74903936	0.003689676	0.001118831	-4.245742618	25.0680889	2.9512355089233	2.4330117686892
LMBRD1	-1.607134857	0.003702286	0.001123687	-4.243309336	19.88238529	2.94935464348504	2.43153003522542
GNA14	-0.988704462	0.003705351	0.001126637	-4.241836209	17.99651675	2.94821599015733	2.43117064594568
RUVBL2	-0.55949343	0.003705351	0.001127005	-4.24165306	25.5386424	2.94807415718584	2.43117064594568
CCDC9	-1.153656129	0.003705351	0.001127716	-4.241298782	17.32671955	2.94780025776603	2.43117064594568
CIAO1	-0.753905369	0.003759863	0.001145354	-4.232582743	21.51909892	2.94106026311839	2.42482797938829
CHID1	-0.665038539	0.003776923	0.001151604	-4.229527762	22.85195768	2.93869683530584	2.42286186902897
SCRIB	-1.033575625	0.003831231	0.00116923	-4.22100316	21.06747472	2.93210005008221	2.41666166190341
DARS1	-0.50117948	0.003854281	0.001177339	-4.21712627	24.91330489	2.92909846950031	2.41405662587654
RIF1	-0.563724773	0.003866916	0.001182774	-4.214543135	23.57540245	2.92709823079847	2.41263526188936
FAH	-0.563157046	0.003866916	0.001184961	-4.213507381	22.15194926	2.9262959431252	2.41263526188936
CTSZ	0.75976785	0.003866916	0.001185546	4.213230239	27.36991987	2.92608159043435	2.41263526188936
NQO1	-0.617476906	0.003866916	0.001185794	-4.213113051	22.12764652	2.92599075147249	2.41263526188936
NEMF	-1.35702553	0.003866916	0.001186587	-4.212738221	18.74759781	2.92570041401238	2.41263526188936
BCL7C	-0.899140405	0.003875804	0.001190784	-4.210758748	20.76675245	2.92416700939514	2.41163819340423
